Rank,Player,Rank Score,Level,Kills,Season 17 Wins,Winning Kills,Kills As Kill Leader,Damage,Headshots,Matches Played,Times Top 3
1,TTV_WeThePeople1,276692,3539,77428,,1393,8519,,,,1191
2,E8 Dezign,262226,1865,60589,98,,,,,,
3,FB-AkesGaming,217966,8630,214961,,,,57093300,210441,32352,17538
4,NAUGHTY,187895,1849,76859,,,,12934754,,,
5,Twitch EnemyAPEX,183500,1698,,,,,,,,
6,iSangAPEX,170350,1317,51275,302,,,11695433,,,
7,KruegerJacked,161806,998,,20,,,,,,
8,nvmessiahttv,150195,2041,,,252,,11854968,,,
9,DanApex,149294,1510,,,,,,,,
10,Qyrro,145022,926,,,,,,,,
11,N8V ProphetVM,140776,974,,,,,,,,
12,Apryze,137205,5214,183560,,146,,29821379,,23833,
13,Tortafeet,133187,1642,,91,,,,56335,,
14,jaded,128152,684,,98,,,,,,
15,TicTaks_x,126661,3495,134327,,,45018,21609999,184368,,
16,Flinzar,125483,1273,,24,,,,,,
17,HoF Samuraisky,124415,1298,,,,,,,,
18,NoJakob,124141,1456,,,,,,,,
19,Woods,123521,662,,67,,,,,,
20,TTV-Bear22345,120538,3939,109096,,1038,14299,23301061,131800,22045,2716
21,RecalIz,118510,2031,,16,,,12427091,40646,,2207
22,TSM_Albralelie,115700,985,94750,,,,16984615,,7665,
23,Zerbow,114649,737,,,,,,,,
24,iScxrTTV,114542,3785,89277,,,,22093996,45362,19249,3598
25,FaZe Gent,114489,1227,,,,,,,,
26,RELX0NLY,113714,1550,,,275,,,39872,,1053
27,Naldoox,112393,2772,,,,,,,,
28,nqrks on tiktok,111004,3011,76068,338,2016,,17872528,91353,13835,6385
29,Pouya,110139,2221,,,,,13610341,,,
30,@uncave | Twitch,109820,893,,,,,,,,
31,ImYourWattson,109105,3168,49744,,,4186,12676617,,,
32,Eww,108763,1997,,,610,,,,,3773
33,Johwny,107592,1351,,,,,,,,
34,oisenpai,107388,906,,,,,15083564,,,
35,Reptar,107337,2291,66888,,,4162,,,,
36,Adiuvant,107130,1366,74380,,,,19069023,66490,,
37,MrChillaxTTV,106580,4015,114585,,,,12933878,52387,,
38,GoatPS,105411,1520,,,,,,,,
39,@ShopzGG,104870,1148,,,,,,,,
40,Rambrro-Twitch,104636,3436,65830,,,,,94613,,
41,J.,104522,1026,,,,,,,,
42,Verrahh,104270,1437,,,,,,,,
43,JTolerance,104018,3466,69153,,,39015,25736580,,20398,2686
44,Niightmareyp,103877,845,,,,,,,,
45,WC_Shooby,103057,1075,,,,,,,,
46,Swaroop629,102714,1795,61071,,,,17651107,102263,16979,
47,JamesFearless,102578,1391,90496,,,,25004399,116531,,
48,Ergochair,102064,1749,,28,,,12097634,48491,,
