Rank,Player,Unnamed: 2,Rank Score,Level,Kills
1,TTV_WeThePeople1,,275604,3539,
2,E8 Dezign,,257647,1865,
3,FB-AkesGaming,,216988,8630,214961.0
4,Twitch EnemyAPEX,,183500,1698,
5,NAUGHTY,,183115,1845,
6,iSangAPEX,,168394,1315,
7,KruegerJacked,,159782,996,
8,nvmessiahttv,,149085,2041,
9,Danular,,147822,1510,
10,Qyrro,,142596,925,
11,Apryze,,137205,5214,183560.0
12,N8V ProphetVM,,136216,971,
13,Tortafeet,,133187,1642,
14,jaded,,126554,682,
15,TicTaks_x,,125124,3495,134327.0
16,HoF Samuraisky,,123085,1296,
17,Flinzar,,122868,1273,
18,Woods,,121659,659,
19,TTV-Bear22345,,120538,3939,109096.0
20,NoJakob,,119921,1456,
21,RecalIz,,118510,2031,
22,TSM_Albralelie,,115700,985,94750.0
23,FaZe Gent,,114489,1227,
24,RELX0NLY,,113714,1550,
25,iScxrTTV,,113451,3785,
26,Zerbow,,112538,734,
27,Naldoox,,112393,2772,
28,nqrks on tiktok,,109342,3011,
29,Eww,,108077,1997,
30,Pouya,,107759,2221,
31,@uncave | Twitch,,107632,891,
32,Johwny,,107592,1351,
33,Adiuvant,,107130,1366,
34,MrChillaxTTV,,105215,4015,114585.0
35,G,,105066,1519,
36,oisenpai,,105023,904,
37,Reptar,,104678,2291,
38,Rambrro-Twitch,,104636,3436,
39,ImYourWattson,,104587,3168,
40,@ShopzGG,,104410,1147,
41,Verrahh,,104270,1437,
42,JTolerance,,104018,3466,
43,WC_Shooby,,103057,1075,
44,J.,,102806,1023,
45,Swaroop629,,102714,1795,
46,Niightmareyp,,102650,843,
47,JamesFearless,,102587,1390,
48,OsivienTv,,101037,1060,
49,Ca9s,,100710,2378,
50,Dub_Lyfe,,100390,4212,103355.0
51,Vega,,100028,944,
52,BobbyBognar,,99649,2017,
53,PlutoReality,,99264,1474,
54,l-ZuLux-l,,98621,3007,
55,Ergochair,,98489,1745,
56,AthenasMerciTV,,98425,1487,
57,SonOfThanatosTV,,98360,2137,
58,Xandemik,,98317,992,
59,valefhaa,,98013,2100,
60,Misfit-Trey,,97916,1071,
61,OpTic Dropped,,97900,4221,95772.0
62,Orbztron,,97834,3176,
63,JoshInaTonka,,97679,455,
64,dimibob,,97418,1249,
65,uzii,,97370,1395,
66,AMG_Godspeed,,96320,1203,
67,TSMDaequan6462,,96182,1152,
68,kapp,,95787,863,
69,Naunnn,,95121,3005,
70,Top Munch NA,,94684,3249,
71,NOIETTAIGA,,94520,1258,
72,UhBismol,,94474,4513,137502.0
73,Raintastical,,94325,1006,
74,xNvkk_,,94224,923,
75,ARODR1_TTG,,94173,4505,120766.0
76,Twitch Crepstf,,93843,564,
77,Chillitai-,,93632,3998,
78,Gody,,93596,1559,
79,SoggieWaffl3s_FB,,93398,5995,116702.0
80,THaless,,93331,1198,
81,sm0kE_tv,,92755,621,
82,AetosRequiem,,92702,1045,
83,l-lSephirothl-l,,92353,1252,
84,NateSlaysTV,,92348,1574,
85,PIuvy,,92201,1225,
86,raultinoco20,,91348,1110,
87,empartial,,91193,728,
88,Rhadiant,,91169,3004,96717.0
89,GsQ im_AVES,,90720,1399,
90,qLazii,,90507,967,
91,happihound,,89707,2143,
92,Chrisccold,,88812,1034,
93,BlackBuddhaaa,,88399,2372,
94,Twitch_ThatzEdd,,88316,1198,
95,Convey,,88160,907,
96,lardnemfromdawic,,88145,1485,
97,Vozskii | Twitch,,88035,1117,
98,SEN Keon,,87977,1310,
99,iitzVick_,,87855,2849,
100,AMEN,,87702,921,
101,SourCrescent375,,87423,945,
