Rank,Player,Unnamed: 2,Rank Score,Level,Kills,Season 17 Wins,Winning Kills,Kills As Kill Leader,Damage,Headshots,Matches Played,Times Top 3
1,TTV_WeThePeople1,,275870,3539,-1,-1.0,1393.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,E8 Dezign,,258401,1865,-1,98.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,FB-AkesGaming,,217008,8630,214961,-1.0,-1.0,-1.0,57093300.0,210441.0,32352.0,17538.0
4,NAUGHTY,,184272,1846,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,Twitch EnemyAPEX,,183500,1698,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,iSangAPEX,,168394,1315,-1,298.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,KruegerJacked,,160682,997,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,nvmessiahttv,,149085,2041,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,Danular,,147822,1510,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,Qyrro,,143384,925,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,N8V ProphetVM,,137335,972,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,Apryze,,137205,5214,183560,-1.0,-1.0,-1.0,29821379.0,-1.0,23833.0,-1.0
13,Tortafeet,,133187,1642,-1,91.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,jaded,,127222,683,-1,97.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,TicTaks_x,,125219,3495,134327,-1.0,-1.0,45018.0,-1.0,184368.0,-1.0,-1.0
16,HoF Samuraisky,,123085,1296,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,Flinzar,,122868,1273,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,Woods,,122241,660,-1,66.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,TTV-Bear22345,,120538,3939,109096,-1.0,1038.0,14299.0,23301061.0,131800.0,22045.0,-1.0
20,NoJakob,,119921,1456,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,RecalIz,,118510,2031,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
22,TSM_Albralelie,,115700,985,94750,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23,iScxrTTV,,114542,3785,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19249.0,3598.0
24,FaZe Gent,,114489,1227,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
25,RELX0NLY,,113714,1550,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,Zerbow,,112538,734,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,Naldoox,,112393,2772,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
28,nqrks on tiktok,,109998,3011,-1,337.0,2016.0,-1.0,-1.0,91353.0,-1.0,6385.0
29,Eww,,108763,1997,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3773.0
30,Pouya,,108469,2221,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
31,@uncave | Twitch,,108220,891,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32,Johwny,,107592,1351,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33,Adiuvant,,107130,1366,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34,MrChillaxTTV,,105215,4015,114585,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
35,G,,105066,1519,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
36,oisenpai,,105023,904,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
37,Reptar,,104678,2291,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
38,Rambrro-Twitch,,104636,3436,-1,-1.0,-1.0,-1.0,-1.0,94613.0,-1.0,-1.0
39,ImYourWattson,,104587,3168,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
40,@ShopzGG,,104410,1147,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
41,Verrahh,,104270,1437,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42,JTolerance,,104018,3466,-1,-1.0,-1.0,39015.0,25566554.0,-1.0,20398.0,-1.0
43,J.,,103381,1024,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
44,WC_Shooby,,103057,1075,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
45,Swaroop629,,102714,1795,-1,-1.0,-1.0,-1.0,-1.0,102263.0,16979.0,-1.0
46,Niightmareyp,,102699,843,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
47,JamesFearless,,102578,1391,-1,-1.0,-1.0,-1.0,25004399.0,116531.0,-1.0,-1.0
48,OsivienTv,,101037,1060,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
49,Ca9s,,100710,2378,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
50,Dub_Lyfe,,100390,4212,103355,-1.0,-1.0,-1.0,29021467.0,115223.0,-1.0,-1.0
51,Vega,,100028,944,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
52,Misfit-Trey,,99673,1071,-1,83.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
53,BobbyBognar,,99649,2017,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
